name,line
Gojou,Good morning.
Itadori,Ah… Ugh… Ngh…
[Action: Itadori raises his head and looks around.],
Itadori,"Huh?

Ugh… Ugh…"
Gojou,So which one of the two are you right now?
Itadori,"Hey, wait… Aren’t you…"
Gojou,Satoru Gojou. I’m head of the first-years at Jujutsu High.
Itadori,Jujutsu? Fushiguro… Where is he?!
[Action: Itadori lurches forward but can’t move.],
Itadori,Huh?
[Action: Itadori notices that he’s tied down.],
Itadori,What the hell is this?
Gojou,"I wouldn’t be worrying about others right now, Yuuji Itadori."
Itadori,Ah…
Gojou,"You see, it’s been decided that you’re to be secretly executed."
,
,
,
"[Scene: In the past, at Itadori’s house. Itadori calls Sugisawa Hospital.]",
Nurse 1,Sugisawa Hospital.
Itadori,"This is Yuuji Itadori. I called earlier.

Yes. Yes. I’m sorry to keep calling, but how’s my grandpa doing?"
Nurse 1,"Huh? I thought they already told you.

Oh, nevermind. Just hold on a minute. I’ll go find out myself."
"[Action: At the hospital, the nurse goes to Wasuke’s room.]",
Nurse 2,Mr. Itadori never uses his call button.
Nurse 3,It’s kinda scary that he doesn’t.
Nurse 1,"Mr. Itadori, you have a call. It’s your grandson again, asking if you want him to bring any --"
Wasuke,Leave me alone!
Nurse 1,Ah…
Wasuke,Tell him not to come here!
Nurses,Ah…
Wasuke,He should go to his club! Go to his club!
Nurse 1,"I, uhh… I guess you probably heard that. So, what type of club are you in, Yuuji?"
Itadori,"Yeah, I heard. Thanks a lot."
,
"[Scene: At night, at Miyashiro Prefectural Sugisawa Third High School. Fushiguro is in search of a cursed object.]",
Fushiguro,They’re keeping a cursed object here in a place like this? Could they be any more stupid?
[Action: Fushiguro opens the latch to a small cabinet to find that it’s empty.],
Fushiguro,Huh… Erk!
[Action: Fushiguro searches all around the cabinet.],
Fushiguro,Ngh… Ugh… Ugh… Ngh… Ngh…!
[Action: Fushiguro calls Gojou on his phone.],
Fushiguro,There’s nothing here.
Gojou,Huh?
Fushiguro,The Stevenson hutch is empty.
Gojou,For real? That’s hilarious! Maybe it took a nighttime stroll.
Fushiguro,I’m going to punch you.
Gojou,"Well, no going home until it’s recovered, okay?"
[Action: Gojou hangs up.],
Fushiguro,I’m seriously going to punch him.
,
"[Scene: The next afternoon, at school. Itadori gathers with Iguchi and Sasaki around a ouija board for club activities.]",
Itadori,"Ready to go?

Whaddya say?

Sasaki?"
Sasaki,Mm.
Itadori,Iguchi?
Iguchi,Mmm…
Itadori,"Okay… Go!

Spirit gods, spirit gods! Which creature is the council president barely weaker than?!"
[Action: The ouija board marker begins to move.],
Group,"Oh?

Ku-ri-o-ne."
"Sasaki, Iguchi",Hahahaha!
